String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
bee,3,6.12775,16,90.06,31785.14,64.67,725.66,8,6.13,1,369625.29,45847.33,18379.96,1504.5,2835.13,56,b.i,3,2,10.3529,10.3529,real
tip,3,25.1059,20,22.95,25981.05,61.33,126.54,9,25.11,1,258730.25,34279.67,16944.73,4589.5,100.96,70,t.I.p,3,3,27.6275,27.6275,real
act,3,187.938,6,32.55,19539.87,41.67,190.02,2,187.94,1,296869.34,34244.67,11809.88,2022,3358.6,402,1.k.t,3,3,109.1176,109.1176,real
rat,3,8.68594,25,31.46,16733.2,82,396.79,12,8.69,1,338956.24,39821.33,31075.74,6266,3496.27,1136,r0.1.t,3,3,32.6078,32.6078,real
row,3,35.7551,19,164.16,11068.15,64,1575.75,10,35.76,1,219448.61,25870,17779.14,2343,1256.55,224,r0.oU,3,2,26.3333,26.3333,real
way,3,1159.75,21,713.64,18557.57,69.33,8352.73,10.5,1159.75,1,184616.25,18629.33,14760.34,845,3024.01,141,w.eI,3,2,1424.726,1424.7255,real
ban,3,13.6833,19,191.36,14525.68,78.33,1806.71,9,13.68,1,244934.01,30455.67,34869.07,3563.5,756.09,195,b.1.n,3,3,3.1373,3.1373,real
fox,3,10.1733,10,844.39,12510.4,59.33,4222.65,5.5,10.17,1,141722.15,14222,7906.23,587.5,19.99,27,f.A.k.s,3,4,21.6078,21.6078,real
die,3,81.1481,16,89.75,30150.8,61,747.47,7.5,81.15,1,331041.66,44348.67,11544.42,3469,839.56,220,d.aI,3,2,261.1373,261.1373,real
tub,3,8.38848,13,3.78,25530.59,52.67,32.16,7,8.39,1,192132.3,22432.33,4601.85,954,68.12,46,t.V.b,3,3,12.6863,12.6863,real
gas,3,69.2496,11,1198.48,18032.74,66.67,6658.97,6,69.25,1,243173.54,36482,18727.02,1870.5,131.66,68,g.1.s,3,3,67.7843,67.7843,real
sip,3,5.23536,20,30.18,7092.81,64.67,305.08,9.5,5.24,1,215909.71,38495.67,8768.61,1798,52.12,24,s.I.p,3,3,5.098,5.098,real
cab,3,10.3517,16,145.72,11159.56,71,1173.88,8,10.35,1,188241.02,25035.33,11755.59,2504.5,184.49,93,k.1.b,3,3,35.8039,35.8039,real
toe,3,9.93529,17,3701.21,56001.03,74.67,727.03,8,9.94,1,412200.21,45002.67,20051.34,1261.5,80.43,26,t.oU,3,2,12.6863,12.6863,real
bog,3,5.7708,21,40.73,11640.45,72,238.6,9.5,5.77,1,157814.31,20199.67,4952.62,1189,15.05,19,b.A.g,3,3,0.96078,0.96078,real
bin,3,5.17587,18,41.25,8474.11,63.33,347.29,8.5,5.18,1,219482.56,32624.67,41430.3,7024.5,427.87,172,b.I.n,3,3,5.3725,5.3725,real
try,3,255.343,7,26.38,25907.56,40,335.15,3.5,255.34,1,238278.96,28882.33,10156.64,1846.5,1227.69,76,t.r0.aI,3,3,476.7451,476.7451,real
key,3,73.9495,6,3.56,6583.92,49.33,84.63,4,73.95,1,210723.68,25872.33,8710.6,906,162.42,48,k.i,3,2,86.8627,86.8627,real
ill,3,56.5181,2,1755.27,3288.12,17.33,1811.79,2,56.52,1,215168.31,35695.33,17975.36,2808.5,5274.69,574,I.l,3,2,21.2745,21.2745,real
bit,3,197.337,17,353.02,12796.18,68,560.06,8,197.34,1,254639.31,32402,20749.74,2358,673.52,183,b.I.t,3,3,235.0392,235.0392,real
raw,3,38.9678,18,41.47,12160.2,68.67,394.32,9.5,38.97,1,239000.06,28727,9663.29,2789,424.66,92,r0.O,3,2,10.1765,10.1765,real
led,3,141.593,17,59.16,17680.64,61,629.79,8,141.59,1,285912.83,38001.33,33478.78,6377,2704.96,661,l.E.d,3,3,24.0196,24.0196,real
