String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
cycle,5,26.8907,0,0,8018.65,282.4,495.96,13.25,47.42,1.33,200870.53,29429.2,8186.6,1709.75,562.54,111.67,s.aI.k.l,5,4,5.8824,5.8824,real
guest,5,25.4629,2,33.38,8408.31,298.2,1081.24,26.25,87.57,3.33,275823.98,37548,18937.15,4952.75,2259.5,660.33,g.E.s.t,5,4,39.9412,39.9412,real
modern,6,165.747,0,0,5666.79,528.5,857.64,71.4,215.02,7.5,273860.38,35160.5,21736.77,3688,1770.76,381.5,m.A.d.56.n,6,5,18.2353,18.2353,real
coming,6,212.151,8,1.3,7194.06,635.17,2365.13,174.2,1171.44,76.25,203107.01,29110,33154.77,5828.6,9925.09,2166.75,k.V.m.I0.N,6,5,527.0196,527.0196,real
writer,6,31.5907,4,9.34,8199.34,862.83,2343.94,218,487.69,33,299503.4,38957.17,31638.15,5510.4,3932.04,762.5,r0.aI.t.56,6,4,23.5294,23.5294,real
passed,6,143.675,9,6.91,9987.8,1027.83,2463.73,280.4,359.14,32.75,279251.55,40751,24243.45,3728,2025.04,379.75,p.1.s.t,6,4,51.5882,51.5882,real
chance,6,147.483,2,133.5,6292.68,515.83,1020.78,69.4,444.05,17.25,277961.26,33650.33,29961.14,2983,4128.49,577.75,tS.1.n.s,6,4,241.2353,241.2353,real
behind,6,330.958,0,0,8726.45,696.67,2064.68,97.2,350.72,4.5,265141.84,32487.83,35499.6,3860.4,2722.92,272.25,b.I.h.aI.n.d,6,6,187.8627,187.8627,real
course,6,604.387,2,6.45,6598.59,587.67,1300.37,75.8,712.13,9.25,264263.86,38020.83,24231.88,3315.6,3747.11,304,k.or.s,6,3,487.2157,487.2157,real
dinner,6,94.3555,4,3.12,8380.64,904.67,2002.74,202.8,225.12,23.25,301576.89,41697.5,36555.82,6432,1538.32,339.75,d.I.n.56,6,4,202.6667,202.6667,real
friend,6,175.147,0,0,6979.12,634.5,1074.33,64,247.46,11,269596.24,36527,25739.8,3664.4,2155.02,384.25,f.r0.E.n.d,6,5,419.2941,419.2941,real
income,6,107.92,0,0,4893.73,340.67,706.06,30.4,315.46,4.25,275985.79,36906.83,31572.07,4765.6,3892.09,429.25,I.n.k.V.m,6,5,7.4118,7.4118,real
around,6,514.136,2,98.46,7517.4,566.5,1696.04,54.2,738.96,6.75,253140.37,32184.5,31040.66,3376,3599.12,411.25,5.r0.aU.n.d,6,5,736.7255,736.7255,real
church,6,161.285,0,0,3860.75,340.17,676.75,43.6,199.39,5.25,180582.02,21315.33,11692.13,1802.2,530.9,113.5,tS.36.tS,6,3,69.6667,69.6667,real
please,6,115.356,0,0,5616.2,494.83,591.44,52.6,169.42,9.25,322782.55,44212.67,24218.82,3102.2,2845.15,277,p.l.i.z,6,4,1100.961,1100.9608,real
agreed,6,100.543,1,6.96,9473.15,889.5,2275.97,210,255.42,6.5,319613.15,41010.83,24988.43,3702.4,1783.31,206.5,5.g.r0.i.d,6,5,35.9216,35.9216,real
seemed,6,437.272,5,1.61,11041.91,1038.5,2601.93,238.2,509.24,16,349452.89,46203.33,24407.77,3331.6,2025.73,203.5,s.i.m.d,6,4,54.2549,54.2549,real
notice,6,81.0291,1,3.63,7774.42,593,976.63,54,295.59,10,324230.67,40819.5,20111.9,3456.6,3462.46,393.5,n.oU.t.I0.s,6,5,59.2549,59.2549,real
growth,6,121.841,0,0,3518.82,349.33,683.98,50.2,226.86,10,229875.35,24153.67,33564.19,1581.8,739.91,106.5,g.r0.oU.T,6,4,6.451,6.451,real
leaves,6,92.6302,6,1.27,9748.96,1108.17,1388.56,181.6,237.82,27.25,316541.81,42447.33,25028.73,4737,2982.98,263.75,l.i.v.z,6,4,45.4118,45.4118,real
caught,6,114.821,2,32.48,5018.04,527.5,739.2,55,370.76,11.5,222871.8,25050.83,8267.61,1213.8,3278.91,218,k.O.t,6,3,93.9412,93.9412,real
though,6,639.428,1,3.27,4702.51,300.67,1918.49,34,1161.54,5.25,234440.26,21917,40806.26,1697.6,4514.47,201.75,D.oU,6,2,181.9412,181.9412,real
seeing,6,85.7291,6,1.5,8493.9,704,2226.75,154.2,1111.96,70.75,330409.48,46965.17,33059.82,5271.6,8451.32,1822.75,s.i.j.I.N,6,5,109.6275,109.6275,real
highly,6,93.8796,0,0,5038.56,449,1008.41,56.4,224.81,5.5,188106.03,21381.83,13037.12,1585.6,1594.9,165,h.aI.l.i,6,4,21.1961,21.1961,real
happen,6,106.135,0,0,7523.5,822,682.1,88,151.29,18,265273.62,31516.33,21658.35,2620,1927.48,270.25,h.1.p.5.n,6,5,254.2745,254.2745,real
cannot,6,253.32,1,5.35,6241.48,621.67,807.9,78.2,329.71,13.5,297861.73,35637.67,22965.39,2511.8,2957.06,196.5,k.1.n.A.t,6,5,126.7647,126.7647,real
garden,6,114.107,2,3.69,8554.45,921.67,992.95,118,279.56,15.5,280518.49,36913.5,21887.54,3459.6,1783.88,333.25,g.Ar.d.5.n,6,5,26.549,26.549,real
letter,6,121.425,6,83.04,10516.34,923.5,2827.76,224.4,818.19,45.5,373314.78,45349.83,29219.99,5547.4,3913.94,830.5,l.E.t.56,6,4,82.6078,82.6078,real
matter,6,280.806,11,10.64,10040.32,981.5,3125.19,241.8,831.49,48.75,338843.75,39317.67,33320.54,5968,4159.09,901.75,m.1.t.56,6,4,370.5882,370.5882,real
