STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
cring,5,NA,3,63.48,8679.57,320.40,2712.44,68.25,1089.85,13.67,207139.37,33192.20,35155.63,6887.25,11369.70,2781.00
czance,6,NA,1,147.48,5465.27,463.17,597.20,36.20,178.72,7.75,237657.93,31937.17,18751.93,2120.40,2403.42,361.00
dalule,6,NA,0,0.00,7741.91,636.00,1367.32,86.60,18.78,1.75,254577.21,33952.67,15571.88,2850.40,170.00,75.50
danian,6,NA,1,0.36,6117.42,663.17,584.46,75.80,90.34,10.75,301472.64,38519.67,29698.21,3359.40,843.31,306.00
darter,6,NA,6,4.12,9910.05,1034.50,2436.54,238.40,416.79,34.75,324577.94,40579.83,29336.85,5173.00,3844.82,736.75
datlol,6,NA,0,0.00,5253.97,513.83,595.57,43.00,1.93,0.50,267264.42,32215.83,15462.42,2722.20,120.62,48.00
deaced,6,NA,1,0.12,9886.02,977.83,2639.61,257.80,125.37,11.25,312302.93,38970.67,23630.37,3802.60,1634.59,178.75
dealle,6,NA,0,0.00,8153.37,658.50,1720.44,116.00,312.02,7.25,321807.41,41451.50,25178.92,4081.40,4031.02,532.25
deanct,6,NA,0,0.00,6142.94,531.33,1077.90,81.60,111.74,8.25,310837.54,37713.33,26289.70,3295.00,1489.15,241.50
deaned,6,NA,2,17.10,10472.91,1013.67,2889.53,281.80,259.86,24.75,340649.42,41680.83,34733.73,4840.80,1646.91,244.50
deant,5,NA,4,44.01,9149.15,389.40,1748.70,61.50,336.55,7.67,349677.20,40730.20,34957.25,4327.75,2312.68,426.00
deawel,6,NA,0,0.00,8042.84,819.00,781.71,73.20,17.36,4.50,308854.15,37383.33,16091.55,2197.40,729.28,65.25
decore,6,NA,2,0.36,7501.46,555.83,1543.73,65.20,518.81,8.00,315275.06,40571.67,30002.26,4337.80,2221.15,328.50
deghef,6,NA,0,0.00,7422.45,719.33,843.75,58.20,64.97,0.75,272089.55,30847.83,31142.44,1871.80,126.05,19.75
deghen,6,NA,0,0.00,8062.78,782.33,1063.48,81.20,65.44,1.50,304070.20,36018.33,39171.11,2926.00,1317.18,51.50
deming,6,NA,0,0.00,7163.47,585.00,2152.50,164.00,1034.16,73.50,244429.30,33895.83,31628.68,5807.00,8519.20,2044.00
demoul,6,NA,0,0.00,5118.18,426.33,652.02,52.60,96.78,7.00,233581.43,30090.50,19455.62,2514.00,2096.66,176.00
dengen,6,NA,0,0.00,8483.46,863.83,993.67,118.60,153.40,14.00,311072.51,40433.83,31880.39,5272.80,1788.19,317.00
denght,6,NA,0,0.00,5236.06,479.83,826.01,72.40,203.69,8.75,282553.91,31809.67,23697.69,3929.00,2343.46,269.50
devime,6,NA,2,17.34,7224.71,566.00,731.26,48.80,35.80,4.50,276377.03,36150.17,15087.40,2089.00,1151.83,130.50
dikipt,6,NA,0,0.00,4765.20,457.00,285.39,24.40,7.47,2.25,213194.32,29581.33,4785.29,1171.20,50.78,28.25
dinint,6,NA,1,23.80,6624.64,623.17,1421.92,132.40,67.08,11.00,290481.61,38994.00,42066.01,7277.40,3138.12,574.50
donch,5,NA,1,11.01,7938.40,338.60,1626.99,51.75,57.23,6.67,227520.12,25682.00,20919.60,3184.50,1010.33,210.00
donks,5,NA,6,2.09,8194.41,612.60,625.54,66.00,42.66,11.00,214224.04,29866.20,14800.47,2258.75,405.68,64.33
doviss,6,NA,0,0.00,6641.52,798.50,608.97,50.00,88.23,4.00,227258.38,35043.17,13333.16,2246.80,713.96,145.50
dreel,5,NA,1,0.71,9671.77,424.40,1099.00,49.00,214.89,8.00,324384.92,43367.40,23436.49,3050.75,1688.88,183.33
drere,5,NA,0,0.00,10933.04,357.60,3090.84,46.25,1475.84,2.33,338957.01,45369.60,45988.49,6506.75,4779.84,380.67
drers,5,NA,4,22.95,9806.61,556.20,2292.18,51.75,63.76,7.33,287445.14,42848.80,34939.48,5571.50,2818.27,937.67
drong,5,NA,3,66.63,7015.82,286.20,2051.74,52.50,458.91,8.67,220634.08,29887.20,27272.09,4774.75,1454.30,253.67
drount,6,NA,0,0.00,5934.44,473.83,1372.59,59.20,461.83,8.00,254875.06,31574.33,21824.04,2939.40,2969.82,357.50
drout,5,NA,1,33.20,7299.42,294.80,1958.98,43.00,957.89,7.33,248506.43,30111.20,20949.35,2269.25,3864.47,351.00
druld,5,NA,1,0.18,8928.16,316.00,3148.43,29.00,1648.70,3.33,172734.00,25910.40,7728.74,1070.00,2118.26,50.33
duboan,6,NA,0,0.00,3748.60,413.00,335.96,32.40,0.77,1.25,223707.63,27390.33,15940.64,1805.80,110.73,61.50
dubome,6,NA,0,0.00,4908.68,430.33,560.22,23.80,126.35,1.50,216292.10,26964.83,11871.41,1457.40,1781.85,108.25
dunded,6,NA,3,1.39,8484.98,919.17,2413.01,256.40,213.03,29.50,237524.63,30731.83,24717.83,3469.20,2558.80,481.00
durles,6,NA,0,0.00,8758.00,1117.33,1336.99,185.60,151.72,13.75,247045.03,37119.00,17405.96,4160.80,902.09,341.75
durve,5,NA,1,12.97,6925.97,331.20,398.72,37.25,37.72,2.67,217927.15,29626.20,12740.37,1581.50,457.42,69.33
dusugh,6,NA,0,0.00,3836.61,337.17,710.55,26.40,289.95,2.00,165777.90,23017.33,8768.22,1186.20,1473.58,74.00
duyige,6,NA,0,0.00,5880.55,500.67,400.29,24.20,10.25,0.75,212465.32,29547.67,5150.48,869.80,71.99,23.75
dyild,5,NA,0,0.00,8522.99,280.60,2252.32,18.00,184.98,1.33,177607.92,25833.60,7339.65,872.00,597.27,35.67
eacar,5,NA,0,0.00,5919.43,312.60,403.61,22.25,9.08,1.33,328877.21,41845.60,21845.98,3318.75,1161.46,200.67
eafely,6,NA,1,22.55,6660.48,593.67,1138.32,65.80,218.86,11.00,294829.16,35852.00,13958.74,2092.80,842.24,143.00
ealder,6,NA,1,0.18,8613.97,921.83,1958.34,191.60,141.22,21.50,333950.82,43120.00,30896.15,4665.20,1731.57,339.75
eapes,5,NA,8,1.26,9141.02,703.20,1278.65,108.25,103.78,10.33,353331.17,47185.60,20531.32,4701.75,463.63,130.00
eauied,6,NA,0,0.00,10567.70,1056.50,2156.15,226.80,35.70,4.25,335682.75,42814.00,16617.40,3038.60,496.48,77.00
efffer,6,NA,0,0.00,6233.49,632.00,1610.74,147.80,128.01,12.50,261662.53,31651.33,17352.87,2851.60,976.35,139.75
effual,6,NA,0,0.00,2880.32,222.67,542.48,29.40,138.62,4.25,230113.26,28153.33,9423.44,1597.20,658.91,82.50
egach,5,NA,0,0.00,5833.54,206.80,1675.58,29.00,81.21,2.67,269684.72,31415.20,9899.50,1731.50,1015.60,145.00
egans,5,NA,0,0.00,7779.06,505.00,674.44,40.00,128.23,5.67,307505.00,42362.00,21073.04,2787.25,1144.01,314.33
egast,5,NA,0,0.00,6889.49,238.60,1010.66,24.25,162.59,3.33,328599.05,42228.40,18531.24,2758.75,1403.20,296.67
eietly,6,NA,0,0.00,6154.41,549.50,1134.07,57.60,69.10,5.50,331662.46,41995.67,10258.30,2186.00,723.45,105.25
eighed,6,NA,1,26.77,8428.82,831.00,2536.56,222.40,227.35,12.00,307188.17,37601.67,36209.99,2562.60,2013.53,250.50
eigher,6,NA,2,213.04,7590.13,778.00,2098.45,162.00,610.51,13.75,319936.02,40631.17,41290.37,3312.80,5825.14,346.50
eiling,6,NA,6,2.44,6093.77,546.67,1983.82,150.00,948.94,72.00,278818.22,40864.17,31302.56,5759.60,8578.77,2191.00
eilles,6,NA,0,0.00,8509.05,1066.83,1369.19,191.40,347.11,28.25,325300.69,47484.00,20990.53,4684.40,2656.74,572.50
einch,5,NA,4,2.08,5950.67,266.00,1612.71,49.00,227.26,7.33,294954.80,37156.00,28584.38,4571.25,1414.34,295.67
einnch,6,NA,0,0.00,4290.81,396.17,623.70,57.80,91.13,7.75,293582.03,37445.00,23320.25,3783.40,634.07,144.25
elllty,6,NA,0,0.00,3840.45,423.67,507.70,45.80,13.91,1.00,250556.93,33134.33,13830.93,2119.60,889.57,148.00
elwter,6,NA,0,0.00,7470.77,759.67,2153.63,186.00,359.08,24.25,323336.69,39802.67,23364.16,4294.60,2485.62,543.25
emare,5,NA,0,0.00,8939.40,301.20,2014.74,33.50,95.74,3.33,353994.36,44587.20,29526.61,4067.75,3282.29,278.33
emase,5,NA,1,1.90,8532.01,292.20,1511.96,33.75,24.25,3.67,358159.74,46889.40,22055.52,2587.75,1053.72,217.00
empice,6,NA,1,32.96,5327.73,420.50,583.74,38.40,217.55,6.00,274322.18,38156.67,11570.60,2158.80,1144.43,189.00
endepe,6,NA,0,0.00,4880.05,395.17,478.18,24.60,66.94,2.00,349260.98,44453.50,26250.60,3378.40,1881.28,416.50
enoth,5,NA,0,0.00,5592.58,235.20,703.78,28.25,27.76,3.00,353604.64,37259.00,51004.51,2737.00,4292.60,161.67
enoual,6,NA,0,0.00,4190.96,329.33,1282.02,44.40,326.81,3.00,300142.52,37564.67,27553.84,3250.60,894.79,118.50
entes,5,NA,2,23.92,8496.73,583.80,1943.66,106.25,128.29,10.00,397041.17,50986.00,35931.88,7534.75,6737.91,1351.00
enttol,6,NA,0,0.00,4485.46,349.00,908.68,44.00,62.24,3.75,347591.12,40244.67,25940.73,3270.80,3909.52,560.00
enyier,6,NA,0,0.00,8126.93,796.17,1943.82,162.60,15.42,13.25,326227.50,43775.50,25267.69,4251.20,168.83,205.75
erest,5,NA,3,5.49,8914.51,274.40,1463.21,32.00,133.98,4.33,388277.52,51079.80,48191.85,9156.50,8138.65,1260.67
esking,6,NA,1,76.81,4503.13,360.17,1836.61,129.20,1107.78,71.00,248717.84,37232.33,31729.79,6817.80,8410.30,1942.00
eveays,6,NA,0,0.00,3755.68,544.83,427.62,28.80,190.58,5.25,301493.32,39067.00,15172.70,1508.20,2354.29,116.25
evemld,6,NA,0,0.00,5335.47,440.33,349.51,11.00,21.76,1.00,253812.62,32976.50,12164.27,1173.60,1968.78,82.50
excage,6,NA,0,0.00,4572.28,338.50,418.40,31.60,80.81,7.25,272035.27,34940.00,8128.89,1544.60,921.62,159.50
excang,6,NA,0,0.00,3895.48,328.50,1095.84,82.80,44.65,3.50,232940.60,30842.67,24500.81,3621.20,1551.96,229.25
excely,6,NA,1,0.36,5114.10,416.83,1201.62,69.80,257.78,12.50,236034.30,31579.67,11721.10,1978.00,920.98,176.50
exckes,6,NA,0,0.00,7175.15,894.67,1319.17,182.60,182.39,24.25,243546.83,34501.83,11873.33,3222.80,572.53,168.00
exffed,6,NA,0,0.00,7016.17,687.83,1973.99,210.40,43.70,11.50,234309.99,27558.50,11558.72,1975.20,470.31,70.50
exoked,6,NA,1,3.27,8235.27,775.67,2492.33,241.60,565.54,31.00,261742.29,31334.33,12012.96,2021.40,964.08,121.00
experd,6,NA,2,17.19,5101.62,446.17,577.69,58.40,118.27,7.25,256277.94,34200.50,18617.95,3210.20,1942.88,365.00
extth,5,NA,0,0.00,3890.10,174.40,535.75,21.75,26.93,0.67,311514.72,30760.40,34962.32,1091.00,386.66,59.33
exyint,6,NA,0,0.00,4960.43,393.17,1317.87,91.20,153.83,6.00,265428.92,33254.83,23203.02,3770.80,1724.83,282.25
exyour,6,NA,0,0.00,3439.73,287.67,420.82,22.40,131.82,5.25,215361.96,27529.83,14698.58,1338.80,3904.45,112.50
fabter,6,NA,3,12.87,8996.46,941.67,2356.67,202.00,363.04,25.00,283215.45,33566.50,22580.01,4201.60,2506.59,555.00
faire,5,NA,3,4.72,11895.60,459.00,1537.77,44.25,58.20,7.67,309245.35,40194.60,21763.28,2675.25,1336.90,202.33
faive,5,NA,2,5.89,10189.29,418.60,584.25,39.00,98.70,4.67,268891.73,33449.80,13757.48,1634.75,2058.97,337.00
falker,6,NA,3,5.04,8706.25,934.17,2337.38,204.20,188.56,20.50,240329.43,31168.00,22877.68,3659.80,566.95,159.00
famind,6,NA,1,7.02,8469.28,751.50,1826.42,110.80,348.92,10.00,222981.80,28826.33,29846.53,4032.80,2166.70,352.25
fanded,6,NA,6,12.69,9791.81,1014.67,2794.18,278.00,229.51,31.75,269574.11,32413.00,35422.13,4120.60,9604.01,532.25
farout,6,NA,0,0.00,6266.00,572.83,896.90,70.00,26.71,6.25,258788.99,29854.00,23781.79,2789.60,3166.58,266.75
fasel,5,NA,1,2.02,7894.44,473.80,537.61,46.75,51.22,4.67,286333.42,38688.40,20885.82,2410.00,1465.19,142.33
fatths,6,NA,1,1.25,6856.05,789.83,1268.22,67.00,284.93,14.50,294903.78,31576.83,36895.83,2315.20,765.20,145.00
fattle,6,NA,6,19.22,8694.84,677.17,2255.20,107.00,846.12,20.50,325386.20,36502.67,17683.45,3123.40,1512.40,228.75
faving,6,NA,12,36.27,6599.37,594.67,2289.05,149.40,1281.30,73.00,198984.02,26559.67,27405.69,4698.20,8117.39,1852.25
feald,5,NA,1,0.83,10203.11,399.80,2847.19,42.25,47.04,5.33,266870.62,32750.80,18918.04,2248.75,918.83,99.00
fermed,6,NA,5,15.35,10643.37,984.33,2349.49,240.80,244.17,18.75,274906.43,35017.00,28872.11,4581.00,1220.06,251.75
fideng,6,NA,0,0.00,5386.00,491.00,1348.45,95.00,14.23,3.50,243115.16,32749.33,24353.31,4212.00,1947.17,266.50
fifer,5,NA,4,2.22,8981.89,407.00,2394.52,63.25,72.96,3.67,251856.14,33391.40,22022.76,3566.25,976.73,117.33
figak,5,NA,0,0.00,5283.15,253.80,1360.06,22.75,37.18,0.67,179438.09,23982.00,6504.43,1119.25,229.46,62.33
figal,5,NA,1,114.41,5647.61,265.60,1612.61,32.75,58.90,1.33,207218.71,28836.20,13203.57,2209.00,313.96,99.00
figre,5,NA,1,14.69,9593.04,336.00,2355.54,27.00,32.62,0.33,249691.97,35156.60,19950.88,2802.00,896.34,126.33
figrs,5,NA,0,0.00,8466.60,534.60,1556.88,32.50,32.62,0.33,198180.10,32635.80,8901.87,1866.75,168.76,43.00
figrsm,6,NA,0,0.00,3378.75,353.83,428.88,28.00,33.12,0.50,182269.94,29654.17,7578.65,1654.00,127.15,35.25
figupt,6,NA,0,0.00,4297.60,368.00,404.23,29.60,66.01,1.00,178823.91,24313.33,5383.65,935.40,217.58,45.00
fiker,5,NA,4,2.28,9196.49,408.40,2717.37,75.00,54.99,6.67,239116.55,32833.40,21777.96,3516.00,1070.49,172.33
fimer,5,NA,3,3.01,9396.73,425.80,2788.33,73.50,127.71,5.67,253433.11,34767.20,27987.72,4182.00,1510.13,201.00
fince,5,NA,5,108.31,9156.56,367.80,1545.62,50.75,442.82,9.33,264980.78,36250.00,29271.03,4728.25,3637.55,510.67
firds,5,NA,6,23.65,7785.83,572.40,1444.51,47.75,598.38,7.33,214659.97,33533.60,7283.06,1203.25,1089.83,148.33
fiter,5,NA,2,4.19,9896.58,436.40,3223.82,84.25,772.53,9.67,311326.97,39462.40,36371.83,5879.75,4389.59,882.00
fivome,6,NA,0,0.00,5636.10,435.17,529.49,26.40,125.86,1.50,231420.58,28904.00,12706.39,1575.80,1852.71,108.25
floot,5,NA,4,50.42,7020.80,293.80,724.07,45.50,220.52,8.00,260662.84,28412.20,10427.30,1623.50,1107.24,193.33
focunt,6,NA,0,0.00,6488.08,507.17,723.86,40.60,30.07,2.75,221901.85,26566.83,13213.15,2089.40,616.67,120.00
fofest,6,NA,1,70.68,5707.90,494.00,633.88,52.80,84.73,14.75,281666.00,33602.00,25245.66,4127.80,1444.84,451.00
foght,5,NA,1,97.87,8566.35,293.40,1595.46,21.00,886.46,4.67,227773.31,21698.20,8459.19,831.50,2045.64,182.67
fonee,5,NA,0,0.00,13259.48,566.00,812.95,44.00,165.13,6.00,349450.17,41403.40,25275.03,3410.00,2643.12,223.00
foraer,6,NA,2,42.63,9636.52,983.33,1871.46,171.60,165.46,7.25,301137.78,37542.33,27096.92,4300.80,3457.33,223.25
foran,5,NA,2,1.16,8655.85,366.40,1233.58,42.25,148.63,6.33,265871.75,32262.20,33519.52,4000.00,5386.73,539.67
forer,5,NA,4,1.53,12431.16,519.40,2966.68,93.75,140.28,11.33,285009.27,36674.20,43934.37,5834.00,6000.32,389.67
forier,6,NA,4,21.31,10707.61,1052.50,2281.44,206.00,217.27,24.50,288412.05,38626.83,29809.01,5010.60,4452.13,613.25
foropt,6,NA,0,0.00,6103.62,520.83,705.27,49.40,187.25,6.50,242458.49,28049.83,16848.86,2113.80,3651.19,255.00
foruge,6,NA,1,1.01,7469.87,557.17,855.55,53.20,152.88,6.00,230677.47,29864.33,14959.47,1777.80,3353.62,155.75
fottld,6,NA,0,0.00,8637.64,682.83,1381.89,55.20,364.21,8.25,256464.91,28025.50,10605.50,1019.60,509.79,77.50
fould,5,NA,5,1064.33,11748.57,384.20,5146.53,35.25,3391.09,4.67,174463.51,22038.00,20022.44,1654.75,4363.08,64.33
founer,6,NA,1,0.12,8907.28,906.67,2255.35,194.40,211.44,14.25,264461.59,33563.83,31651.51,4413.60,2144.37,281.00
frars,5,NA,2,18.03,9616.13,599.80,1459.89,67.50,386.03,9.33,245228.26,35867.60,17562.84,3515.00,857.73,161.33
frder,5,NA,3,90.79,8976.80,402.40,2393.56,68.50,424.76,5.00,253666.63,34248.20,24812.76,4235.00,1708.16,376.00
frdey,5,NA,0,0.00,7780.01,452.40,658.78,27.25,89.99,0.33,221036.34,28189.60,10125.06,1562.00,351.64,52.33
frein,5,NA,0,0.00,8105.66,281.00,1701.24,30.75,49.28,3.00,290232.92,39596.00,37519.44,5298.50,741.30,121.00
frers,5,NA,2,0.51,10323.93,558.20,2226.49,48.25,43.61,8.00,273129.43,40185.80,35804.92,5567.00,2593.69,945.67
frina,5,NA,0,0.00,7637.19,307.40,1700.65,54.50,146.31,6.00,262331.75,35277.80,28657.69,5257.25,1989.20,577.67
fringh,6,NA,1,14.04,3954.81,365.83,1004.00,64.20,255.19,11.75,209766.04,27266.00,30662.87,5517.80,8529.28,2058.75
froker,6,NA,1,3.45,8312.26,835.33,2380.64,208.20,264.58,25.00,242697.12,31408.00,21773.17,3420.80,1713.30,181.00
gainks,6,NA,0,0.00,5645.22,781.00,515.40,73.00,98.73,13.00,225466.86,33633.83,20409.28,3333.80,2208.40,209.00
gajow,5,NA,0,0.00,3245.39,248.40,231.47,14.75,62.11,0.33,177344.31,19579.20,5105.83,629.25,89.48,6.33
gerugh,6,NA,0,0.00,5856.75,430.17,760.09,33.80,316.46,3.50,215803.73,27849.50,19469.32,3114.40,1667.21,169.00
gesles,6,NA,0,0.00,9531.40,1114.00,1153.46,173.40,46.30,10.25,304013.16,45788.17,22840.27,6434.60,1151.32,412.25
gethes,6,NA,0,0.00,9908.76,1070.83,1750.03,161.60,464.74,17.75,337867.58,40855.00,61181.50,4217.80,22895.08,318.50
gevint,6,NA,0,0.00,7103.23,575.00,1464.09,101.40,252.62,9.00,271794.03,35217.33,27479.32,4301.20,2017.59,312.25
gidin,5,NA,0,0.00,5649.03,255.20,606.54,22.00,0.71,0.67,229599.29,34709.00,26942.17,4672.00,1032.10,259.33
gight,5,NA,10,256.62,6406.88,240.40,2170.10,15.50,1742.27,8.00,222069.14,26479.00,7286.88,973.25,3806.82,345.33
gigra,5,NA,0,0.00,5496.18,243.60,893.63,13.00,0.00,0.00,219626.64,32603.60,8867.81,2233.50,534.19,224.67
gilost,6,NA,0,0.00,4820.34,449.00,579.96,52.20,126.70,2.75,256420.03,36139.17,14943.73,2860.40,1041.90,147.00
glair,5,NA,1,3.15,7755.26,310.80,1638.71,35.75,134.04,5.33,236831.84,35134.60,10010.31,1809.75,896.10,168.33
glming,6,NA,1,1.96,5264.84,466.50,1931.71,136.00,1000.85,69.00,172154.96,27460.00,25667.36,4852.60,8245.56,1942.50
golene,6,NA,0,0.00,7524.47,648.83,600.19,52.80,42.94,3.00,317744.92,40865.17,22153.53,3715.40,1174.39,296.75
goove,5,NA,4,4.91,11000.35,392.60,781.17,42.75,153.39,6.00,258536.70,30485.20,12787.06,1516.75,2073.84,247.00
goughs,6,NA,7,0.71,5012.31,691.83,679.34,48.60,142.51,11.50,186248.18,24741.00,12642.97,1095.40,2216.63,104.50
goung,5,NA,2,578.12,9392.75,317.20,3767.53,46.25,725.10,8.00,179155.21,24813.80,24103.40,3597.50,1995.53,223.33
gower,5,NA,10,48.24,10752.85,448.60,2350.02,73.50,353.86,12.00,252729.10,31555.40,24797.44,3385.00,2276.13,132.00
grang,5,NA,3,23.22,7419.20,307.40,2010.47,64.00,144.96,11.00,215885.08,30703.60,30795.12,5022.50,2062.57,600.67
grangs,6,NA,3,5.53,5168.76,691.00,803.57,72.20,315.65,18.50,223858.70,34064.67,25031.50,4129.60,1936.97,545.50
grare,5,NA,7,11.84,10516.10,393.60,2539.76,67.50,186.83,9.00,294575.97,40153.60,28237.63,4595.25,3064.75,316.67
grase,5,NA,9,20.41,10108.71,384.60,2036.99,67.75,171.28,11.67,298741.35,42455.80,20766.53,3115.25,1182.84,333.00
grdel,5,NA,1,1.31,7362.38,379.80,987.28,39.00,107.82,1.00,236930.38,34011.20,12394.66,2337.75,540.09,115.33
grecle,6,NA,0,0.00,5842.30,502.00,1149.71,85.60,37.91,5.00,276027.42,39162.83,21417.76,3372.40,1488.46,271.50
greer,5,NA,5,46.04,11350.58,433.80,3001.99,86.00,444.41,9.33,322477.14,44471.80,35971.58,5233.50,1763.41,244.67
grold,5,NA,0,0.00,9436.03,340.00,2535.98,42.00,147.07,5.33,197298.33,27978.80,12326.59,1844.00,1526.94,177.33
groop,5,NA,4,79.33,5049.88,260.20,1060.26,46.75,172.97,10.00,210348.33,27780.60,11272.39,1933.50,894.99,175.67
grople,6,NA,0,0.00,6762.32,523.67,1950.53,96.80,889.73,12.50,236656.89,33068.83,13946.29,2568.20,1840.51,216.25
grose,5,NA,6,9.98,9996.19,357.80,2298.06,57.50,651.88,9.67,287010.48,40741.60,16095.68,2475.50,1751.19,253.67
groure,6,NA,1,1.67,6434.06,488.83,1725.38,66.80,520.81,14.75,255355.08,35113.00,28682.46,3521.80,4006.48,376.25
groury,6,NA,0,0.00,5285.66,457.67,1359.48,68.60,364.02,11.00,181765.46,26045.00,18793.42,2253.00,3194.85,253.75
gumal,5,NA,0,0.00,3876.29,247.40,651.15,31.50,103.04,1.67,171291.48,24230.20,13251.95,2358.75,702.23,105.67
gurst,5,NA,5,12.55,6959.34,310.00,1081.61,40.50,467.10,5.00,220146.72,32725.00,16601.87,3270.75,1257.28,128.00
guyors,6,NA,0,0.00,5016.97,645.50,700.79,62.00,24.70,5.75,185236.61,27963.50,12530.26,1676.00,344.54,114.00
hacama,6,NA,0,0.00,3839.95,428.17,433.07,39.00,77.07,3.00,268233.96,29236.83,18398.20,2368.20,468.18,89.75
hanome,6,NA,0,0.00,6504.82,569.00,770.63,54.40,153.24,3.75,310055.70,34117.00,33125.01,2714.80,3152.04,246.50
hapaid,6,NA,0,0.00,5756.12,617.00,382.09,41.40,60.95,3.50,259780.02,30327.00,15561.65,1604.00,1487.08,68.25
harars,6,NA,1,1.67,6930.42,862.33,868.46,115.20,60.36,9.25,292965.29,37625.17,26903.21,4028.40,1166.76,247.50
hasict,6,NA,0,0.00,6354.04,592.17,864.05,60.20,57.66,4.50,284077.53,35731.83,22859.52,2511.80,1251.48,136.75
hater,5,NA,8,116.69,9626.52,480.20,3220.03,93.25,1143.69,16.00,356571.85,39067.00,45607.85,6956.75,10726.90,1573.33
haying,6,NA,10,59.05,6215.67,568.50,2020.04,142.00,1144.52,70.00,230398.47,27886.50,33111.24,4754.20,7899.39,1851.00
heace,5,NA,3,42.36,10444.56,397.40,2132.20,52.25,602.15,8.67,357139.26,40771.40,43490.86,2591.75,2180.83,264.00
heach,5,NA,6,36.78,7810.72,324.80,2657.99,60.50,410.74,8.67,301822.90,30556.00,43447.25,2663.25,2132.93,258.67
healy,5,NA,4,35.62,8512.66,415.40,1699.39,59.25,266.63,8.33,279511.77,31233.60,47549.01,3501.00,1676.21,218.33
heangs,6,NA,0,0.00,6723.93,749.67,1021.76,66.20,306.97,13.50,297038.23,37367.83,48954.23,3963.20,1960.55,346.00
heldol,6,NA,0,0.00,4944.94,437.67,448.85,39.20,41.94,3.50,265934.72,31510.17,32706.92,1850.60,526.15,80.00
higind,6,NA,0,0.00,7122.52,639.17,1555.75,95.20,178.17,5.50,232116.80,30990.33,33634.00,4025.00,1689.12,246.75
higume,6,NA,0,0.00,5194.38,407.67,490.98,26.00,107.65,2.75,229342.35,29030.17,14136.11,1612.20,435.52,65.00
hollts,6,NA,0,0.00,5735.15,767.33,841.10,100.20,68.54,8.25,260637.43,32249.50,13018.68,2052.20,759.98,161.75
holve,5,NA,3,8.01,9138.65,365.80,676.12,40.25,40.85,4.00,260057.58,28833.20,15117.30,1793.50,934.31,140.00
homust,6,NA,0,0.00,5392.50,437.17,540.92,52.80,28.72,3.50,240728.29,28004.67,18520.94,2726.80,1475.39,143.25
honds,5,NA,8,43.56,8549.62,594.60,1066.17,59.75,207.31,10.33,256937.64,31330.20,29503.22,3116.75,1363.79,219.00
hooss,5,NA,5,3.52,11059.10,616.20,1131.76,44.75,53.48,6.33,283682.00,36152.20,12885.36,2155.00,874.36,159.33
horven,6,NA,0,0.00,8238.11,849.00,816.89,90.40,96.85,8.25,276644.42,32177.83,26621.42,3096.80,1230.90,220.75
houngn,6,NA,0,0.00,4740.84,433.33,760.59,53.20,139.88,6.00,223864.20,26443.83,22564.82,3220.80,2793.01,220.25
hounks,6,NA,1,5.71,5413.94,704.83,675.73,71.60,180.23,14.75,211219.45,26504.50,15844.04,1778.40,2688.86,236.25
huing,5,NA,2,0.57,7166.47,282.40,2511.41,43.50,936.85,9.00,207753.40,26970.20,30446.16,5532.00,10028.44,2382.00
humber,6,NA,4,76.08,7119.23,779.50,1733.83,165.20,327.92,16.00,215969.68,26508.50,19025.83,3005.80,1118.98,215.75
hurll,5,NA,1,0.42,6300.44,297.40,970.15,32.00,17.97,3.33,189117.64,25786.60,11020.07,1616.25,173.42,45.67
imans,5,NA,1,0.12,7575.39,501.60,656.41,42.00,153.23,6.67,268074.10,38955.80,25915.99,3371.75,2438.11,497.33
imison,6,NA,0,0.00,2958.91,308.17,615.41,39.20,176.40,4.50,264523.69,39099.67,23054.12,3319.60,1015.78,270.00
imoth,5,NA,0,0.00,5060.29,211.40,642.27,23.00,26.02,3.33,273632.79,29413.40,41224.69,1660.00,2036.32,147.00
inasks,6,NA,0,0.00,4090.98,599.17,389.76,50.80,0.62,1.25,255419.09,39330.00,24746.31,3759.00,713.85,183.50
indece,6,NA,1,5.71,5051.81,392.67,782.23,41.80,142.92,3.50,319628.10,43006.50,35538.80,4862.20,2369.97,454.75
infets,6,NA,3,0.30,4708.38,606.50,538.68,78.00,44.59,12.00,310696.66,41285.50,22497.24,3857.40,442.80,159.50
inimer,6,NA,0,0.00,7000.23,740.67,1854.51,172.60,104.13,8.25,294079.24,42208.17,38544.43,6166.00,1600.68,258.25
inlled,6,NA,0,0.00,8012.94,809.00,2601.14,265.60,521.47,37.75,269987.02,38438.67,34169.51,5788.00,1334.10,303.75
innric,6,NA,0,0.00,2670.10,299.67,339.76,37.80,5.27,2.75,257304.59,39424.67,23993.41,4515.40,585.88,153.00
inobly,6,NA,0,0.00,4976.78,402.50,1032.58,71.20,4.67,3.75,205226.94,28266.67,24850.40,4060.40,429.15,132.25
inople,6,NA,0,0.00,6427.91,441.50,1789.47,77.80,743.21,4.75,280862.02,38273.50,27814.75,4447.00,1203.05,125.00
inouay,6,NA,0,0.00,4579.99,378.17,1052.03,36.80,125.29,0.75,249117.33,31670.33,30229.35,3764.60,248.37,71.50
