STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
andder,6,NA,0,0.00,7363.61,745.67,1930.55,182.20,169.05,23.25,294251.71,37661.67,39640.69,4816.60,9319.01,476.25
anibed,6,NA,0,0.00,8353.12,825.17,2139.72,211.20,51.57,9.50,287987.84,37402.17,27459.38,3555.40,681.85,183.00
apeal,5,NA,1,0.71,6902.63,221.40,1025.73,33.50,63.95,1.33,306692.53,38563.00,19247.51,2965.25,1469.07,172.33
apere,5,NA,0,0.00,10848.06,291.80,2598.57,28.00,1430.05,1.33,349165.79,44883.40,35837.81,5611.25,6091.60,672.00
apese,5,NA,0,0.00,10440.67,282.80,1677.96,29.50,410.08,1.00,353331.17,47185.60,21200.51,4886.50,1211.19,179.00
arader,6,NA,1,1.90,8292.72,869.33,1992.29,204.00,179.95,24.25,322843.26,41190.00,30429.29,5382.40,2038.76,456.75
arald,5,NA,0,0.00,10393.22,368.40,2189.02,44.00,10.23,1.33,268582.58,34731.00,23150.74,3839.75,996.46,214.00
areays,6,NA,1,0.95,4988.73,659.67,705.24,52.40,242.97,11.75,311870.35,41089.17,25734.35,3165.60,4054.48,282.75
areced,6,NA,0,0.00,8568.77,863.17,2288.84,230.00,74.51,8.00,325050.78,42000.17,32244.49,4752.40,2944.42,300.25
arergy,6,NA,0,0.00,4505.79,422.00,496.26,39.40,101.09,2.00,258771.39,34972.33,31822.30,4736.80,2062.90,158.50
arill,5,NA,5,3.15,9564.62,312.20,1606.88,48.50,346.47,7.00,254037.04,37665.60,22213.20,3922.00,2431.89,498.00
aryiay,6,NA,0,0.00,5234.98,505.83,519.16,29.00,71.64,1.50,245230.59,31607.83,11579.03,1700.40,478.32,61.00
asever,6,NA,0,0.00,6968.43,712.50,1622.65,159.40,59.45,9.25,328685.22,44115.83,32698.97,4160.40,4774.89,405.50
asker,5,NA,3,160.29,8129.65,307.00,2459.86,64.75,330.30,3.67,288165.93,40132.60,27636.47,3877.75,739.22,184.67
assang,6,NA,0,0.00,4439.48,375.67,976.67,80.40,34.77,4.25,276957.66,40181.50,30728.36,4209.80,1463.36,308.75
asuld,5,NA,0,0.00,8748.72,237.40,2985.16,12.50,1610.21,1.00,219972.88,32352.80,16115.84,1592.00,2245.46,63.00
atalts,6,NA,0,0.00,5204.41,677.17,626.19,69.60,65.58,5.00,330283.98,40071.33,20861.26,3698.00,865.69,199.00
atasth,6,NA,0,0.00,3657.35,357.67,401.59,32.60,6.41,2.25,342728.12,37246.17,50559.68,4328.00,927.03,230.00
atsser,6,NA,0,0.00,7628.41,762.50,1810.04,178.80,110.28,17.75,344268.09,47446.33,31942.62,5567.40,991.03,259.50
atunct,6,NA,0,0.00,4286.85,330.83,399.74,28.40,8.06,2.25,281236.60,33054.50,17210.24,3006.00,664.50,168.75
aublve,6,NA,0,0.00,4785.80,416.50,280.06,19.80,107.35,1.50,216407.72,28235.83,8722.98,1301.40,467.24,51.75
aurtem,6,NA,0,0.00,8072.45,820.83,1083.15,93.60,91.44,6.75,293129.84,36027.50,15223.14,2789.20,728.98,139.25
bakive,6,NA,0,0.00,6931.37,605.17,412.53,39.00,166.06,6.00,224510.70,29175.50,10084.49,1461.00,1567.89,270.50
baneca,6,NA,0,0.00,5418.75,559.33,564.31,64.20,13.16,5.00,292417.96,36558.83,24195.99,3370.80,884.48,164.00
baping,6,NA,8,1.90,6790.40,643.17,1851.05,161.20,952.64,71.75,200469.63,28779.50,26335.42,5085.60,7819.67,1904.75
batths,6,NA,0,0.00,7095.28,818.83,1104.47,76.40,220.26,16.50,290148.65,32031.33,36829.09,2459.60,732.19,168.75
beace,5,NA,3,52.02,10832.86,431.40,2377.49,58.50,429.64,9.33,321459.09,40410.80,19610.24,2255.50,1545.26,189.67
beair,5,NA,0,0.00,8965.21,383.80,2529.44,49.00,91.98,5.33,303539.19,40740.00,17601.78,1758.50,741.08,142.33
beama,5,NA,1,4.76,5668.00,338.00,1488.37,51.25,69.35,6.67,290773.90,34516.00,17764.46,2103.75,515.62,146.00
beange,6,NA,0,0.00,7658.41,599.33,1578.00,78.40,197.98,11.50,310231.31,39168.00,31917.82,3980.20,1706.50,301.75
